epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,757.579,1.22412,3.13559,1.54961,0.62062,0.14595,0.15852,0.09757,1.32913,1.87262,1.70899,0.00999685,0.00333228,0.00999685,0.00333228,0.00999685,0.00333228,0.00999685,0.00333228
2,1269.32,1.23836,2.37869,1.54811,0.43902,0.16887,0.17823,0.11248,1.42003,1.8852,1.7922,0.0196009,0.00653364,0.0196009,0.00653364,0.0196009,0.00653364,0.0196009,0.00653364
3,1741.81,1.28687,2.28684,1.58458,0.49019,0.14414,0.18611,0.10629,1.51485,1.90201,1.88896,0.028809,0.00960299,0.028809,0.00960299,0.028809,0.00960299,0.028809,0.00960299
4,2224.07,1.28417,2.07589,1.57965,0.57078,0.18014,0.20213,0.12177,1.43896,1.67434,1.78581,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2751.01,1.23451,1.85511,1.54047,0.5844,0.25549,0.24569,0.15553,1.38037,1.52314,1.75593,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3262.98,1.1969,1.74081,1.51086,0.66604,0.25102,0.29104,0.19907,1.30224,1.37797,1.65418,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3754.21,1.17794,1.6487,1.49248,0.6377,0.2458,0.26631,0.17538,1.31524,1.32335,1.66048,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4210.53,1.13769,1.57649,1.46507,0.66244,0.25534,0.28826,0.19273,1.31256,1.28543,1.67388,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4669.33,1.12857,1.50106,1.45072,0.65341,0.27832,0.31239,0.21677,1.29804,1.20004,1.62832,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5170.49,1.11063,1.45061,1.43245,0.62024,0.27904,0.30279,0.20605,1.26438,1.2149,1.60335,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,5719.45,1.09526,1.413,1.42605,0.63927,0.29097,0.31973,0.21552,1.27167,1.16019,1.62424,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,6233.11,1.08285,1.37557,1.41613,0.6984,0.2952,0.32164,0.22224,1.2494,1.09756,1.57844,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,6753.67,1.06778,1.33363,1.40251,0.66653,0.2887,0.31544,0.21736,1.25013,1.0946,1.56911,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,7309.5,1.05601,1.3153,1.39423,0.62657,0.30155,0.32488,0.22487,1.22792,1.08201,1.55558,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,7808.97,1.05418,1.28243,1.39267,0.6739,0.29512,0.33586,0.23253,1.21976,1.03413,1.5324,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,8265.59,1.04907,1.26265,1.38689,0.71982,0.29467,0.32777,0.22795,1.20629,1.02323,1.52672,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,8723.15,1.03008,1.23434,1.3744,0.61864,0.3379,0.32907,0.23085,1.21105,0.99965,1.5289,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,9173.26,1.0178,1.21052,1.36662,0.62386,0.33774,0.35739,0.24691,1.21959,0.98333,1.53962,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,9625.03,1.01565,1.19404,1.36446,0.67322,0.3188,0.36523,0.25257,1.20488,0.97063,1.53067,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,10074,1.01998,1.17792,1.3637,0.62884,0.35263,0.36382,0.25348,1.19581,0.94056,1.51373,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,10523.9,1.0072,1.16772,1.35995,0.67695,0.31809,0.34673,0.24265,1.19429,0.9395,1.52183,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,10975,0.99769,1.1452,1.352,0.67447,0.31063,0.35674,0.25357,1.1891,0.94988,1.51216,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,11424.8,0.99102,1.11558,1.34517,0.63653,0.35798,0.36677,0.26149,1.18371,0.90704,1.50236,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,11875,0.98402,1.11068,1.33983,0.69051,0.32057,0.37955,0.27024,1.17255,0.91589,1.4977,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,12326.8,0.98656,1.09748,1.34059,0.66981,0.30719,0.36502,0.25816,1.18558,0.93118,1.50514,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,12777.3,0.97002,1.06766,1.33133,0.58737,0.3571,0.38081,0.27083,1.17496,0.8968,1.49846,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,13230.2,0.97006,1.06723,1.32861,0.6774,0.31979,0.37899,0.27125,1.17378,0.8995,1.49726,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,13683.4,0.96633,1.04535,1.32366,0.53094,0.37592,0.38207,0.27301,1.17303,0.89662,1.48828,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,14131.7,0.94894,1.01807,1.31237,0.64013,0.32197,0.38464,0.27394,1.16334,0.86611,1.48709,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,14580.8,0.9561,1.01495,1.3159,0.54751,0.37937,0.37043,0.2643,1.1704,0.878,1.49112,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,15032.1,0.94712,1.00417,1.31263,0.54748,0.38285,0.39252,0.28299,1.1577,0.862,1.48476,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,15483.1,0.94108,0.99126,1.31094,0.63017,0.33656,0.38106,0.27511,1.15099,0.86338,1.47512,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,15935,0.93754,0.98165,1.30359,0.53163,0.38456,0.37726,0.27439,1.15303,0.86423,1.47574,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,16385.3,0.93422,0.96155,1.30279,0.66676,0.32173,0.37594,0.27408,1.14686,0.86283,1.47042,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,16835.1,0.92545,0.94112,1.2931,0.63397,0.34186,0.37744,0.27343,1.15106,0.84972,1.46745,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,17284.7,0.9189,0.94396,1.29227,0.64062,0.32801,0.38357,0.27693,1.14932,0.84069,1.47091,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,17735.3,0.9088,0.91706,1.28631,0.54804,0.36774,0.38402,0.28005,1.14924,0.83496,1.47335,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,18184.8,0.90771,0.91609,1.28365,0.65563,0.33062,0.39087,0.28469,1.14716,0.83913,1.47467,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,18636.7,0.90423,0.90359,1.2784,0.58041,0.35798,0.3844,0.27926,1.14484,0.84942,1.47128,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,19087.2,0.90243,0.89469,1.27609,0.56266,0.35896,0.38029,0.2766,1.14367,0.85292,1.47051,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,19549,0.86705,0.70848,1.29751,0.57329,0.35043,0.3758,0.27344,1.14069,0.85023,1.46684,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,20000.3,0.85474,0.68436,1.28728,0.57957,0.34835,0.38894,0.28287,1.13692,0.84523,1.46303,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,20446.6,0.84571,0.65892,1.2798,0.58224,0.3483,0.38702,0.28123,1.13465,0.84622,1.46066,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,20893,0.8356,0.64086,1.27158,0.58927,0.34566,0.39022,0.28414,1.13704,0.85181,1.46129,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,21337.5,0.82773,0.62294,1.2627,0.56652,0.35185,0.39142,0.28474,1.13683,0.85886,1.46058,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,21783,0.81837,0.60969,1.25477,0.55905,0.3539,0.39096,0.28349,1.13719,0.86661,1.46031,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
